boosting_rounds,wrmsse,mae,rmse,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,non_finite_predictions,negative_predictions,prediction_rows,evaluation_seconds,fold,demand_type,stage,fit_train_end,validation_start,validation_end
1500,0.741733540950998,0.6381662787325979,1.0965120662962107,0.6594642857142857,0.6489579995093481,2.5612069975977647e-07,9.2681245803833,0,0,5600,0.6399014999624342,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
25,1.149370260147951,1.4266304092827653,2.7139390211817997,1.4735714285714285,1.1175859718210994,0.14861589670181274,4.435308456420898,0,0,5600,0.4945221000816673,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
50,1.199003200728208,1.3237343710727458,2.5998820241478953,1.4735714285714285,1.05416334817186,0.030734216794371605,7.378826141357422,0,0,5600,0.5017934998031706,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
75,1.1676581602293172,1.3020007618436855,2.5441773123352656,1.4735714285714285,1.0839263941633648,0.016644015908241272,10.302671432495117,0,0,5600,0.4676608999725431,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
100,1.134323312510001,1.288321436300674,2.516622359372288,1.4735714285714285,1.0947458626911974,0.011368324048817158,11.306926727294922,0,0,5600,0.4875987998675555,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
125,1.0945391859980333,1.2786105435524535,2.493445148460868,1.4735714285714285,1.1159730865862885,0.00597345968708396,11.788573265075684,0,0,5600,0.4985837999265641,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
150,1.0600484235117622,1.2776327675298256,2.4812060152900384,1.4735714285714285,1.1457472261849657,0.004497582092881203,11.992506980895996,0,0,5600,0.4963038999121636,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
175,1.0456505496616135,1.2736404088137872,2.47428616495822,1.4735714285714285,1.1542133698278174,0.003965959884226322,11.971561431884766,0,0,5600,0.5174292998854071,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
200,1.0217265280644274,1.2762241416902647,2.471083017481025,1.4735714285714285,1.1790384642492946,0.0030769063159823418,12.123396873474121,0,0,5600,0.508987900102511,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
250,1.0004544718038548,1.2728710637926166,2.4645643344679393,1.4735714285714285,1.1960371115387325,0.0015888563357293606,12.07306957244873,0,0,5600,0.5082233001012355,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
300,0.984527623132223,1.2751111797036927,2.4608908685405146,1.4735714285714285,1.2208385780529976,0.000978140509687364,12.108748435974121,0,0,5600,0.5171899998094887,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
350,0.9777853883637893,1.2734372012538577,2.4582003707935844,1.4735714285714285,1.2254491105499619,0.0006444522878155112,12.120674133300781,0,0,5600,0.5204464001581073,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
400,0.9668845294100517,1.2728269640174454,2.4507023168520576,1.4735714285714285,1.2374165542780715,0.0004019927291665226,11.975869178771973,0,0,5600,0.5197073000017554,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
450,0.9477847267141626,1.2723697029082697,2.439672059063807,1.4735714285714285,1.2600569374151538,0.00028738772380165756,12.022150993347168,0,0,5600,0.5155948000028729,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
500,0.9429863640986372,1.2723598547992852,2.440596947116279,1.4735714285714285,1.2664557907465055,0.00017668436339590698,12.183449745178223,0,0,5600,0.5367971998639405,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
550,0.9607932279663098,1.2668835716446016,2.4398921027820943,1.4735714285714285,1.2444829379874707,0.00017467256111558527,11.685970306396484,0,0,5600,0.5232798000797629,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
600,0.9609124184337945,1.2668704388322267,2.4417932206182855,1.4735714285714285,1.2468456738452187,0.00011024174455087632,11.797117233276367,0,0,5600,0.5307078999467194,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
650,0.9368558915904139,1.2668326864162334,2.427177618837119,1.4735714285714285,1.274603216468704,9.665894322097301e-05,12.84841537475586,0,0,5600,0.525227400008589,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
700,0.9345628074602774,1.2666931220938646,2.427144507287195,1.4735714285714285,1.2775586552888516,4.8582871386315674e-05,12.431023597717285,0,0,5600,0.5348304000217468,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
750,0.9129979613422068,1.2731870067849,2.4241329620173246,1.4735714285714285,1.311942036426391,3.627023761509918e-05,14.472186088562012,0,0,5600,0.5234086001291871,1,lumpy,coarse,2015-12-06,2015-12-07,2016-01-03
