level,hierarchy_series,level_weight_share,naive_level_wrmsse,naive_wrmsse_contribution,xgb_level_wrmsse,xgb_wrmsse_contribution,fold,demand_type,level_wrmsse_difference,xgb_better
L6_State_Category,9,0.08333333333333333,1.187866264701635,0.09898885539180291,0.9552852587432697,0.07960710489527248,4,intermittent,0.23258100595836517,True
L7_State_Department,21,0.08333333333333333,1.1981382071088482,0.09984485059240401,0.9735060074989274,0.08112550062491061,4,intermittent,0.22463219960992087,True
L8_Store_Category,30,0.08333333333333333,1.2495902808777126,0.10413252340647604,0.9482341369581853,0.0790195114131821,4,intermittent,0.30135614391952736,True
L9_Store_Department,60,0.08333333333333333,1.2223519250348824,0.10186266041957354,0.9191126420778825,0.07659272017315687,4,intermittent,0.303239282957,True
L10_Item,182,0.08333333333333333,1.4259541470434385,0.11882951225361987,1.0153535509358464,0.08461279591132052,4,lumpy,0.41060059610759203,True
L11_Item_State,197,0.08333333333333333,1.4237250007573146,0.11864375006310954,1.0154085557262797,0.08461737964385664,4,lumpy,0.4083164450310348,True
L12_Item_Store,200,0.08333333333333333,1.4251400155970815,0.11876166796642344,1.0176349619638179,0.08480291349698482,4,lumpy,0.4075050536332636,True
L1_Total,1,0.08333333333333333,0.6631716800994332,0.05526430667495276,0.5056468300286201,0.04213723583571834,4,lumpy,0.15752485007081307,True
L2_State,3,0.08333333333333333,0.8100160804942272,0.0675013400411856,0.6353575974937404,0.0529464664578117,4,lumpy,0.1746584830004868,True
L3_Store,10,0.08333333333333333,1.0975820429254177,0.09146517024378481,0.8333603818648609,0.06944669848873841,4,lumpy,0.2642216610605568,True
L4_Category,3,0.08333333333333333,0.8202728834728366,0.06835607362273638,0.6298467406187123,0.052487228384892684,4,lumpy,0.1904261428541243,True
L5_Department,7,0.08333333333333333,1.1960935496588259,0.09967446247156882,0.8021165445870642,0.06684304538225534,4,lumpy,0.3939770050717617,True
L6_State_Category,9,0.08333333333333334,1.042150731500783,0.08684589429173192,0.7653380411962252,0.06377817009968544,4,lumpy,0.2768126903045578,True
L7_State_Department,21,0.08333333333333333,1.3733500604370101,0.11444583836975084,0.9459446789578029,0.07882872324648357,4,lumpy,0.42740538147920726,True
L8_Store_Category,30,0.08333333333333333,1.3211878829277075,0.11009899024397563,0.9768163007145289,0.0814013583928774,4,lumpy,0.34437158221317865,True
L9_Store_Department,59,0.08333333333333333,1.4262667666225382,0.11885556388521151,1.0477949617125037,0.0873162468093753,4,lumpy,0.3784718049100344,True
L10_Item,142,0.08333333333333333,0.9534456490103563,0.07945380408419636,0.7093533977618627,0.05911278314682189,4,smooth,0.24409225124849365,True
L11_Item_State,180,0.08333333333333333,0.9580538979399775,0.07983782482833146,0.7177051258582519,0.05980876048818765,4,smooth,0.24034877208172567,True
L12_Item_Store,200,0.08333333333333333,0.9722484303875621,0.08102070253229685,0.7220618795066309,0.06017182329221924,4,smooth,0.2501865508809312,True
L1_Total,1,0.08333333333333333,0.5573070883757636,0.046442257364646966,0.3189175136837242,0.02657645947364368,4,smooth,0.23838957469203942,True
L2_State,3,0.08333333333333333,0.6005639952603954,0.05004699960503295,0.4092255144918137,0.03410212620765114,4,smooth,0.19133848076858168,True
L3_Store,10,0.08333333333333334,0.7358651473235681,0.06132209561029735,0.5316479114257977,0.044303992618816485,4,smooth,0.2042172358977704,True
L4_Category,3,0.08333333333333334,0.6540191138495189,0.054501592820793254,0.40977050545983357,0.0341475421216528,4,smooth,0.24424860838968537,True
L5_Department,5,0.08333333333333333,0.6816785530948231,0.056806546091235255,0.451073218901005,0.03758943490841708,4,smooth,0.23060533419381807,True
L6_State_Category,9,0.08333333333333333,0.7048062729025049,0.058733856075208736,0.48014965172447044,0.0400124709770392,4,smooth,0.22465662117803442,True
