fold,demand_type,model,level,level_name,series_count,weight_sum,wrmsse_contribution,level_normalised_wrmsse
2,smooth,XGBoost,2,State,3,0.08333333333333333,0.04284234823411307,0.5141081788093569
2,smooth,XGBoost,3,Store,10,0.08333333333333333,0.05306488332585975,0.636778599910317
2,smooth,XGBoost,4,Category,3,0.08333333333333334,0.046482727349018156,0.5577927281882178
2,smooth,XGBoost,5,Department,5,0.08333333333333334,0.04905413076372122,0.5886495691646546
2,smooth,XGBoost,6,State × Category,9,0.08333333333333333,0.05010705983217524,0.601284717986103
2,smooth,XGBoost,7,State × Department,14,0.08333333333333334,0.0528683464035074,0.6344201568420887
2,smooth,XGBoost,8,Store × Category,29,0.08333333333333334,0.056312583082089106,0.6757509969850692
2,smooth,XGBoost,9,Store × Department,39,0.08333333333333336,0.05784518172768145,0.6941421807321773
2,smooth,XGBoost,10,Item,142,0.08333333333333333,0.06429223644432096,0.7715068373318515
2,smooth,XGBoost,11,Item × State,180,0.08333333333333334,0.06511918251658394,0.7814301901990072
2,smooth,XGBoost,12,Item × Store,200,0.08333333333333334,0.0654619963248198,0.7855439558978375
3,erratic,LSTM,1,Total,1,0.08333333333333333,0.11431454941331001,1.3717745929597203
3,erratic,LSTM,2,State,3,0.08333333333333334,0.10256537227253408,1.230784467270409
3,erratic,LSTM,3,Store,10,0.08333333333333333,0.10304076681925357,1.236489201831043
3,erratic,LSTM,4,Category,3,0.08333333333333333,0.10570333993039503,1.2684400791647406
3,erratic,LSTM,5,Department,5,0.08333333333333333,0.09697088569087446,1.1636506282904937
3,erratic,LSTM,6,State × Category,9,0.08333333333333333,0.09254982624138555,1.1105979148966267
3,erratic,LSTM,7,State × Department,15,0.08333333333333333,0.10096441821241317,1.2115730185489582
3,erratic,LSTM,8,Store × Category,25,0.08333333333333334,0.09503148998444859,1.140377879813383
3,erratic,LSTM,9,Store × Department,39,0.08333333333333334,0.09968229765428539,1.1961875718514245
3,erratic,LSTM,10,Item,119,0.08333333333333334,0.09852733417572317,1.182328010108678
3,erratic,LSTM,11,Item × State,171,0.08333333333333331,0.09924558513684154,1.1909470216420988
3,erratic,LSTM,12,Item × Store,200,0.08333333333333333,0.09891707131262972,1.1870048557515567
3,erratic,XGBoost,1,Total,1,0.08333333333333333,0.050476631665502626,0.6057195799860315
3,erratic,XGBoost,2,State,3,0.08333333333333334,0.056257979406771685,0.6750957528812601
3,erratic,XGBoost,3,Store,10,0.08333333333333333,0.061370116863888095,0.7364414023666572
3,erratic,XGBoost,4,Category,3,0.08333333333333333,0.04742478500384951,0.5690974200461941
3,erratic,XGBoost,5,Department,5,0.08333333333333333,0.05021672332840465,0.6026006799408559
3,erratic,XGBoost,6,State × Category,9,0.08333333333333333,0.052312488569929094,0.6277498628391491
3,erratic,XGBoost,7,State × Department,15,0.08333333333333333,0.06079686773786802,0.7295624128544163
3,erratic,XGBoost,8,Store × Category,25,0.08333333333333334,0.058178325264512554,0.6981399031741505
3,erratic,XGBoost,9,Store × Department,39,0.08333333333333334,0.06646245793665931,0.7975494952399116
