demand_type,removed_feature_group,level,folds,mean_full_level_wrmsse,mean_ablation_level_wrmsse,mean_delta_level_wrmsse,median_delta_level_wrmsse,folds_removal_worsened_level
lumpy,calendar,L10_Item,5,1.0741109022453874,1.0706320301092913,-0.0034788721360961006,0.016637491919107905,3
lumpy,calendar,L11_Item_State,5,1.0657875275901998,1.0619235075505116,-0.0038640200396882207,0.01671249095167049,3
lumpy,calendar,L12_Item_Store,5,1.0661853561923444,1.0624220390770869,-0.0037633171152575695,0.016402550744419875,3
lumpy,event_snap,L1_Total,5,1.1860975668255214,1.267526843074703,0.0814292762491818,0.016933228572333592,3
lumpy,event_snap,L2_State,5,1.1081804598738574,1.1649787768588309,0.0567983169849736,0.007104472695567798,3
lumpy,event_snap,L3_Store,5,1.084735085684267,1.1640898387734981,0.07935475308923128,0.04843547989341124,5
lumpy,event_snap,L4_Category,5,1.2322470903106546,1.329612239793833,0.09736514948317847,0.08229626348373009,3
lumpy,event_snap,L5_Department,5,1.2245778381507377,1.3238648386732939,0.09928700052255615,0.10903892087929701,4
lumpy,event_snap,L6_State_Category,5,1.1118402036216435,1.1833684380636158,0.07152823444197247,0.054480394866560866,4
lumpy,event_snap,L7_State_Department,5,1.1385413582451958,1.2261087217466242,0.08756736350142862,0.08362906696482608,5
lumpy,event_snap,L8_Store_Category,5,1.1089210534276743,1.1909994247007734,0.08207837127309911,0.07314683728389304,4
lumpy,event_snap,L9_Store_Department,5,1.1289405974170355,1.213479468289508,0.08453887087247265,0.08738322535617726,4
lumpy,event_snap,L10_Item,5,1.0741109022453874,1.1310867626625467,0.056975860417159165,0.06091359759792048,5
lumpy,event_snap,L11_Item_State,5,1.0657875275901998,1.12255471424495,0.05676718665475011,0.060282075819361625,5
lumpy,event_snap,L12_Item_Store,5,1.0661853561923444,1.1232609585765692,0.05707560238422467,0.059624204028975614,5
lumpy,price,L1_Total,5,1.1860975668255214,1.3883837842711495,0.2022862174456282,0.2822568628032057,4
